id,school,location,role,rating,submittedDate,salary,monthlyTakeHome,monthlySavings,taxRate,housing,airfare,childrenTuition,healthInsurance,retirementPlan,education,experience,yearsAtSchool,curricula,workload,contractLength,schoolStructure,facultySize,extracurriculars,url
"1010","🇹🇭 Thai-Singapore International School","Bangkok (Samut Prakan), Thailand","Elementary Homeroom Teacher","","","","$2,100","21% - 30% savings","15%","$90","Not provided","Free tuition is provided for two children per teacher","Provided","No","Bachelors","3-5 years","3","British","Light (Less than 20 hours per week)","1 year","","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1010"
"1011","🇲🇾 Alice Smith School","Kuala Lumpur, Malaysia","Elementary Homeroom Teacher","","","","$3,300","Less than 20% savings","25%","$750","Round trip once every contract cycle","Free tuition is provided for three children per teacher","Provided","Yes","Bachelors","11-15 years","4","British","Busy (26-30 hours per week)","2 years","","Very Large (>100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1011"
"1012","🇨🇳 Yew Chung International School - YCIS","Shanghai, China","Elementary Homeroom Teacher","","","","$4,000","31% - 40% savings","10%","Not provided","$1000/year","Free tuition is provided for two children per teacher","Provided","No","Bachelors","9-10 years","3","British","Moderate (20-25 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1012"
"1013","🇨🇳 Olive Tree","Hangzhou, China","Middle School Teacher","","","","$2,500","51% - 60% savings","16%","Not provided","round trip","Free tuition is provided for one child per teacher","Provided","No","Bachelors","6-8 years","1","Chinese","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1013"
"1014","🇺🇿 Presidential school of Uzbekistan","Tashkent, Uzbekistan","High School Teacher","","","","$3,500","41% - 50% savings","12%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Provided","No","Masters","6-8 years","4","British","Moderate (20-25 hours per week)","1 year","Non-Profit (Government/DoD)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1014"
"1015","🇨🇳 Nansha College Preparatory Academy","Nansha, Guangzhou, China","High School Teacher","","","","$3,840","61% - 70% savings","0%","Not provided","Round trip - Once per year","Free tuition is provided for one child per teacher","Provided","Yes","Masters","3-5 years","1","American","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1015"
"1016","🇨🇳 Tsinghua International School Daoxiang Lake","Beijing, China","Middle School Teacher","","","","$4,000","51% - 60% savings","25%","$955","10000(single)-20000(with dependents) rmb a year to return to home country","Free tuition is provided for three children per teacher","Provided","No","Masters","11-15 years","3","American","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1016"
"1017","🇨🇳 Shanghai American School","Shanghai, China","High School Teacher","","","","$10,000","More than 80%","0%","$2,000","All","Free tuition is provided for one child per teacher","Provided","Yes","Masters","11-15 years","4","American","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1017"
"1018","🇹🇼 Kaohsiung American School","Kaohsiung, Taiwan","Middle School Teacher","","","","$4,100","41% - 50% savings","0%","$900","Annual round-trip","Free tuition is provided for one child per teacher","Provided","Yes","Bachelors","6-8 years","2","International Baccalaureate","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1018"
"1019","🇸🇬 United World College of South East Asia - UWCSEA","Singapore, Singapore","High School Specialist Teacher","","","","$10,500","21% - 30% savings","15%","$2,900","Not provided","Free tuition is provided for two children per teacher","Provided","No","Masters","11-15 years","3","International Baccalaureate","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","More than 4 hours per week","https://www.internationalteachersalary.com/schools/1019"
"1020","🇨🇳 Shanghai Bilingual School","Shanghai, China","High School Teacher","","","","$3,000","51% - 60% savings","30%","$10,000","Not provided","Partial tuition is provided for teacher's children","Provided","No","Masters","6-8 years","3","American","Moderate (20-25 hours per week)","2 years","Unknown","Small (<20 teachers)","None","https://www.internationalteachersalary.com/schools/1020"
"1021","🇲🇾 Sri KDU International School Kota Damansara","Kuala Lumpur, Malaysia","High School Specialist Teacher","","","","$1,444","Less than 20% savings","11%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Provided","No","Ph.D / Ed.D","11-15 years","4","British","Heavy (More than 30 hours per week)","4 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1021"
"1022","🇧🇳 Jerudong International School","Bandar Seri Begawan, Brunei","High School Teacher","","","","$4,792","21% - 30% savings","0%","$1,300","One round trip home per year for whole family. Flights at start and end of contract.","Free tuition is provided for three children per teacher","Not Provided","No","Masters","16+ years","5","British","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1022"
"1023","🇰🇿 Nazarbayev Intellectual Schools","Almaty, Kazakhstan","High School Specialist Teacher","","","","$3,600","31% - 40% savings","10%","Not provided","Two way every year","Free tuition is provided for one child per teacher","Provided","No","Masters","16+ years","2","British","Moderate (20-25 hours per week)","1 year","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1023"
"1024","🇯🇲 American International School of Kingston","Kingston, Jamaica","High School Specialist Teacher","","","","$3,750","Less than 20% savings","0%","Not provided","One way trip for staff member and up to 2 dependents","Free tuition is provided for two children per teacher","Provided","No","Masters","16+ years","2","International Baccalaureate","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1024"
"1025","🇨🇳 SIAS INTERNATIONAL SCHOOL OF ZHENGDONG NEW DISTRICT","ZHENGZHOU, China","Middle School Specialist Teacher","","","","$4,100","61% - 70% savings","11%","Not provided","Annual Standardised Stipend $2000 for teacher, 1,500 per dependant","Free tuition is provided for two children per teacher","Employee Pays Percentage","No","Masters","16+ years","2","International Baccalaureate","Moderate (20-25 hours per week)","2 years","For-Profit (Family-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1025"
"1026","🇨🇳 Utahloy International School Zengcheng","Guangzhou, China","Middle School Teacher","","","","$2,700","41% - 50% savings","21%","Not provided","Round trip - Includes dependent but it is the school agent and the cost is more than the flight allowance and teachers bear the cost.","Free tuition is provided for two children per teacher","Provided","No","Masters","6-8 years","4","International Baccalaureate","Moderate (20-25 hours per week)","3 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1026"
"1027","🇺🇿 International School in Uzbekistan","Tashkent, Uzbekistan","High School Teacher","","","","$4,000","61% - 70% savings","12%","Not provided","2000","Tuition is NOT provided for teacher's children","Provided","No","Bachelors","16+ years","2","British","Moderate (20-25 hours per week)","1 year","Unknown","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1027"
"1028","🇶🇦 Sherborne Senior School","Doha, Qatar","High School Teacher","","","","$4,685","61% - 70% savings","0%","Not provided","Amount in QAR paid once a year per individual/couple/family","Free tuition is provided for two children per teacher","Provided","No","Masters","11-15 years","5","British","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1028"
"1029","🇻🇳 The American School","Ho Chi Minh City, Vietnam","High School Teacher","","","","$2,900","41% - 50% savings","0%","$600","Not provided","Free tuition is provided for two children per teacher","Employee Pays Percentage","No","Bachelors","16+ years","2","American","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1029"
"1030","🇲🇰 NOVA International School Skopje","Skopje, Macedonia","Elementary Homeroom Teacher","","","","","","","$500","1000 EUR","Free tuition is provided for two children per teacher","Provided","No","","","","","","","","","","https://www.internationalteachersalary.com/schools/1030"
"1031","🇮🇹 ICS Milan","Milan, Italy","Curriculum Coordinator","","","","$3,915","Less than 20% savings","30%","Not provided","Not provided","Free tuition is provided for two children per teacher","Employee Pays Percentage","No","Masters","16+ years","1","International Baccalaureate","Heavy (More than 30 hours per week)","More than 5 years","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1031"
"1032","🇧🇬 Anglo American School of Sofia","Sofia, Bulgaria","High School Teacher","","","","$3,694","Less than 20% savings","0%","Not provided","Round Trip after the first year","Free tuition is provided for three children per teacher","Provided","No","Masters","16+ years","4","American","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1032"
"1033","🇨🇴 Colegio Anglo Colombiano","Bogota, Colombia","High School Teacher","","","","","","","$465","Full airfare at the start and end of a two year contract for all (teacher + spouse + kids where applicable).  Round trip airfare or taxed monetary equivalent at the one-year point for the teacher only.","Free tuition is provided for two children per teacher","Provided","Yes","","","","","","","","","","https://www.internationalteachersalary.com/schools/1033"
"1034","🇸🇬 Nexus International School (Singapore)","Singapore, Singapore","High School Teacher","","","","$16,724","71% - 80% savings","9%","$4,500","Not provided","Free tuition is provided for two children per teacher","Provided","No","Masters","16+ years","11","International Baccalaureate","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1034"
"1035","🇨🇳 Yew Chung International School of Shanghai: Century Park Campus","Shanghai, China","High School Teacher","","","","$5,107","51% - 60% savings","18%","$1,300","Flight to China at start of 2 year contract (teacher only). 1300 USD at end of first year, flight to home country at end of 2 year contract (teacher only)","Free tuition is provided for two children per teacher","Provided","No","Bachelors","11-15 years","2","British","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1035"
"1036","🇭🇰 Yew Chung International School Hong Kong","Hong Kong, Hong Kong","High School Teacher","","","","$4,500","Less than 20% savings","6%","Not provided","Not provided","Free tuition is provided for one child per teacher","Not Provided","No","Masters","3-5 years","2","British","Heavy (More than 30 hours per week)","2 years","Unknown","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1036"
"1037","🇨🇳 Fuyuan Shenzhen British American School","Shenzhen, China","High School Teacher","","","","","","","$409","End of Contract","Tuition is NOT provided for teacher's children","Employee Pays Percentage","No","","","","","","","","","","https://www.internationalteachersalary.com/schools/1037"
"1038","🇦🇪 The Sheffield Private School","Dubai, United Arab Emirates","High School Teacher","","","","$3,130","21% - 30% savings","0%","Not provided","Flights to UAE at the beginning of contract. An allowance to cover round trip once a year.","Partial tuition is provided for teacher's children","Provided","No","Masters","6-8 years","1","British","Busy (26-30 hours per week)","2 years","Unknown","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1038"
"1039","🇨🇳 Hangzhou International School","Hangzhou, China","Learning Support Teacher","","","","$5,636","Less than 20% savings","0%","$1,700","Reimbursement allowance - USD 1500","Free tuition is provided for two children per teacher","Provided","Yes","Masters","16+ years","2","International Baccalaureate","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Large (51-100 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1039"
"1040","🇭🇰 Harrow International School Hong Kong","Hong Kong, Hong Kong","High School Specialist Teacher","","","","$7,950","31% - 40% savings","17%","Not provided","Not provided","Partial tuition is provided for teacher's children","Employee Pays Percentage","No","Bachelors","16+ years","5","British","Heavy (More than 30 hours per week)","2 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1040"
"1041","🇨🇳 International School of Nanshan Shenzhen","Shenzhen, China","Middle School Specialist Teacher","","","","$3,816","51% - 60% savings","0%","Not provided","2000CAD x2","Free tuition is provided for two children per teacher","Provided","Yes","Masters","3-5 years","3","Canadian","Moderate (20-25 hours per week)","3 years","For-Profit (Family-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1041"
"1042","🇦🇪 Hartland International School","Dubai, United Arab Emirates","High School Coordinator/Lead","","","","$5,000","Less than 20% savings","0%","Not provided","Round trip - 1 per year","Free tuition is provided for two children per teacher","Provided","No","Bachelors","16+ years","3","British","Heavy (More than 30 hours per week)","2 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1042"
"1043","🇺🇿 Tashkent International School","Tashkent, Uzbekistan","Middle School Specialist Teacher","","","","","","","$1,350","One flight in, one return flight, one flight out","Free tuition is provided for two children per teacher","Provided","No","","","","","","","","","","https://www.internationalteachersalary.com/schools/1043"
"1044","🇨🇳 Shanghai SMIC Private School","Shanghai, China","Elementary Homeroom Teacher","","","","$4,400","41% - 50% savings","10%","$680","Not provided","Partial tuition is provided for teacher's children","Provided","No","Bachelors","3-5 years","","American","Heavy (More than 30 hours per week)","2 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1044"
"1045","🇪🇸 El limonar international school","Murcia, Spain","High School Teacher","","","","$1,800","Less than 20% savings","25%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Not Provided","No","Bachelors","6-8 years","2","British","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1045"
"1046","🇩🇴 Abraham Lincoln School","La Romana, Dominican Republic","High School Teacher","","","","$2,300","21% - 30% savings","0%","Not provided","Start and end of 2-year contract","Free tuition is provided for one child per teacher","Employee Pays Percentage","No","Bachelors","3-5 years","2","British","Light (Less than 20 hours per week)","2 years","For-Profit (Corporate-Owned)","Small (<20 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1046"
"1047","🇹🇭 Traill International School","Bangkok, Thailand","High School Teacher","","","","$2,836","Less than 20% savings","20%","Not provided","Not provided","Free tuition is provided for one child per teacher","Provided","No","Bachelors","3-5 years","2","British","Moderate (20-25 hours per week)","1 year","For-Profit (Family-Owned)","Small (<20 teachers)","Less than 1 hour per week","https://www.internationalteachersalary.com/schools/1047"
"1048","🇹🇭 Brighton College Bangkok","Bangkok, Thailand","Elementary Homeroom Teacher","","","","$4,100","21% - 30% savings","20%","$1,300","Flights at start and end of contract for teacher, spouse and dependants","Free tuition is provided for two children per teacher","Provided","No","Bachelors","3-5 years","2","British","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1048"
"1049","🇺🇸 Awty International School","Houston, TX, United States of America","Middle School Teacher","","","","$5,000","Less than 20% savings","30%","Not provided","Not provided","Partial tuition is provided for teacher's children","Employee Pays Percentage","Yes","Masters","11-15 years","4","International Baccalaureate","Moderate (20-25 hours per week)","1 year","Non-Profit (Board Governed)","Very Large (>100 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1049"
"1050","🇩🇴 Abraham Lincoln School","La Romana, Dominican Republic","Elementary Homeroom Teacher","","","","$2,500","Less than 20% savings","0%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","No","Bachelors","9-10 years","2","British","Moderate (20-25 hours per week)","2 years","Other","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1050"
"1051","🇳🇱 The International School of The Hague","The Hague, Netherlands","High School Teacher","","","","$4,000","Less than 20% savings","38%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Not Provided","Yes","Masters","11-15 years","5","International Baccalaureate","Moderate (20-25 hours per week)","More than 5 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1051"
"1052","🇪🇸 Brewster Madrid","Madrid, Spain","High School Specialist Teacher","","","","$2,300","Less than 20% savings","20%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","No","Bachelors","11-15 years","2","American","Busy (26-30 hours per week)","More than 5 years","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1052"
"1053","🇻🇳 British International School Ho Chi Minh City","Ho Chi Minh City, Vietnam","Elementary Homeroom Teacher","","","","$2,600","31% - 40% savings","20%","$900","Not provided","Free tuition is provided for two children per teacher","Provided","No","Masters","9-10 years","6","British","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1053"
"1054","🇸🇬 Tanglin Trust School","Singapore, Singapore","High School Specialist Teacher","","","","$8,500","21% - 30% savings","16%","Not provided","Round trip every 2 years including spouse and 2 dependents","Free tuition is provided for two children per teacher","Employee Pays Percentage","No","Masters","16+ years","10","British","Heavy (More than 30 hours per week)","3 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1054"
"1055","🇨🇳 British School of Guangzhou","Guangzhou, China","High School Specialist Teacher","","","","$4,000","71% - 80% savings","20%","$1,200","1000 USD on start and end of contract + 1600 USD in the middle of the contract","Free tuition is provided for two children per teacher","Provided","No","Masters","3-5 years","2","British","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1055"
"1056","🇹🇭 Canadian International School of Thailand","Bangkok, Thailand","Elementary Homeroom Teacher","","","","$2,400","21% - 30% savings","15%","Not provided","Not provided","Free tuition is provided for two children per teacher","Provided","No","Bachelors","3-5 years","","International Baccalaureate","Moderate (20-25 hours per week)","1 year","For-Profit (Family-Owned)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1056"
"1057","🇲🇽 Colegio Americano de Torreon","Torreon, Mexico","Elementary Homeroom Teacher","","","","","","","Not provided","400 USD at start and end of contract.","Free tuition is provided for two children per teacher","Employee Pays Percentage","No","","","","","","","","","","https://www.internationalteachersalary.com/schools/1057"
"1058","🇪🇬 Modern English School Cairo","Cairo, Egypt","Elementary Homeroom Teacher","","","","$2,900","51% - 60% savings","0%","$150","Annual flights home + beginning and end of contract max $1500","Free tuition is provided for two children per teacher","Employee Pays Percentage","No","Bachelors","3-5 years","2","British","Busy (26-30 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1058"
"1059","🇪🇬 Royal Canadian school cairo","Cairo, Egypt","Middle School Coordinator/Lead","","","","$910","Less than 20% savings","45%","$20","At end of contract","Tuition is NOT provided for teacher's children","Employee Pays Percentage","No","Masters","11-15 years","1","Canadian","Heavy (More than 30 hours per week)","2 years","For-Profit (Family-Owned)","Small (<20 teachers)","3-4 hours per week","https://www.internationalteachersalary.com/schools/1059"
"1060","🇨🇳 British School of Guangzhou","Guangzhou, China","High School Specialist Teacher","","","","$3,000","71% - 80% savings","20%","$1,200","Travel expenses up to a certain cost reimbursed upon receipt","Free tuition is provided for two children per teacher","Provided","No","Masters","9-10 years","2","British","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1060"
"1061","🇭🇰 Discovery Bay International School","Hong Kong, Hong Kong","High School Teacher","","","","$8,800","Less than 20% savings","15%","$5,000","Not provided","Free tuition is provided for one child per teacher","Provided","Yes","Masters","11-15 years","1","British","Moderate (20-25 hours per week)","2 years","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1061"
"1062","🇹🇼 Taipei European School","Taipei, Taiwan","High School Teacher","","","","$4,800","31% - 40% savings","0%","$1,400","Annual round trip for each family member","Free tuition is provided for two children per teacher","Provided","No","Bachelors","11-15 years","7","International Baccalaureate","Busy (26-30 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1062"
"1063","🇮🇩 British School Jakarta","Jakarta, Indonesia","Middle School Coordinator/Lead","","","","$5,000","41% - 50% savings","0%","$2,400","Cash for worker and dependents depends where you live globally","Free tuition is provided for two children per teacher","Provided","No","Masters","16+ years","20+","British","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1063"
"1064","🇷🇴 British International School of Timisoara","Timisoara, Romania","High School Specialist Teacher","","","","$2,600","Less than 20% savings","47%","Not provided","Beginning and end of contract","Free tuition is provided for two children per teacher","Provided","Yes","Masters","9-10 years","2","International Baccalaureate","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Very Large (>100 teachers)","None","https://www.internationalteachersalary.com/schools/1064"
"1065","🇧🇷 St Nicholas School","São Paulo, Brazil","High School Teacher","","","","$3,300","31% - 40% savings","28%","Not provided","End of contract. Includes dependents","Free tuition is provided for two children per teacher","Employee Pays Percentage","No","Masters","11-15 years","9","International Baccalaureate","Busy (26-30 hours per week)","2 years","For-Profit (Family-Owned)","Large (51-100 teachers)","None","https://www.internationalteachersalary.com/schools/1065"
"1066","🇨🇳 Harrow Shanghai","Shanghai, China","Elementary Homeroom Teacher","","","","$3,885","31% - 40% savings","20%","$2,183","start and end of year","Free tuition is provided for two children per teacher","Provided","No","Bachelors","9-10 years","2","British","Heavy (More than 30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1066"
"1067","🇯🇵 Horizon International School (Sendai Branch)","Sendai, Japan","Elementary Homeroom Teacher","","","","$1,850","Less than 20% savings","20%","Not provided","One way allowance only, reimbursed upon arrival, but also covered the cost for my dependents.","Free tuition is provided for two children per teacher","Employee Pays Percentage","Yes","Masters","3-5 years","2","International Baccalaureate","Moderate (20-25 hours per week)","1 year","For-Profit (Corporate-Owned)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1067"
"1068","🇨🇭 La cote international school","Aubonne, Switzerland","Middle School Coordinator/Lead","","","","$6,300","21% - 30% savings","20%","Not provided","Not provided","Free tuition is provided for two children per teacher","Not Provided","Yes","Masters","16+ years","7","International Baccalaureate","Heavy (More than 30 hours per week)","More than 5 years","For-Profit (Corporate-Owned)","Small (<20 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1068"
"1069","🇹🇭 King's College Bangkok","Bangkok, Thailand","High School Teacher","","","","$3,300","21% - 30% savings","20%","$725","Minimal","Free tuition is provided for two children per teacher","Provided","No","Bachelors","9-10 years","2","British","Busy (26-30 hours per week)","2 years","For-Profit (Corporate-Owned)","Large (51-100 teachers)","1-2 hours per week","https://www.internationalteachersalary.com/schools/1069"
"1070","🇭🇰 French international school Hong kong","Hong Kong, Hong Kong","Middle School Principal","","","","$7,800","21% - 30% savings","11%","Not provided","Not provided","Tuition is NOT provided for teacher's children","Employee Pays Percentage","Yes","Masters","16+ years","6","International Baccalaureate","Heavy (More than 30 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1070"
"1071","🇻🇪 Escuela Bella Vista","Maracaibo, Venezuela","Middle School Teacher","","","","$4,100","51% - 60% savings","0%","Not provided","Yearly round trip airfare","Free tuition is provided for three children per teacher","Provided","Yes","Bachelors","3-5 years","","American","Moderate (20-25 hours per week)","2 years","Non-Profit (Board Governed)","Medium (20-50 teachers)","None","https://www.internationalteachersalary.com/schools/1071"
